algorithm,n,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
DynamicArray.append,1000,2.9170000925660136e-07,2.9170000925660136e-07,2.897000085795298e-07,2.848000003723428e-07,3.4079999022651466e-07,2.97499995213002e-07
list.append,1000,1.078000059351325e-07,1.1169999197591096e-07,1.0999999358318746e-07,1.0630000906530768e-07,1.078000059351325e-07,1.0679999832063913e-07
Deque.appendleft,1000,6.448000058298931e-07,6.434999959310517e-07,2.0350999984657394e-06,6.785000005038455e-07,6.448000058298931e-07,6.422000005841255e-07
deque.appendleft,1000,1.0140000085812062e-07,1.0140000085812062e-07,1.0150000161956996e-07,1.0140000085812062e-07,1.016000023810193e-07,1.010999985737726e-07
list.insert(0),1000,1.8240000645164402e-07,1.8350000027567147e-07,1.8209998961538077e-07,1.88599995453842e-07,1.8240000645164402e-07,1.807000080589205e-07
DynamicArray.append,3000,3.1846666630978387e-07,3.011666655462856e-07,3.0543333074698847e-07,3.1846666630978387e-07,3.6819999998745817e-07,3.445999997590358e-07
list.append,3000,1.1283333393900345e-07,1.1329999930846195e-07,1.0956666665151715e-07,1.2766666380533327e-07,1.1283333393900345e-07,1.0776666749734431e-07
Deque.appendleft,3000,6.610666653917482e-07,9.13566667198514e-07,6.288333340004708e-07,6.610666653917482e-07,8.388333323334033e-07,6.491666669414068e-07
deque.appendleft,3000,1.010999985737726e-07,9.989999913765738e-08,1.010999985737726e-07,1.0396666766609996e-07,1.0126666650952151e-07,1.00800001140063e-07
list.insert(0),3000,4.086333307592819e-07,4.1589999940091124e-07,4.026666671658556e-07,4.086333307592819e-07,4.1336666618008167e-07,3.9460000213390835e-07
DynamicArray.append,10000,3.321500000311062e-07,3.3260000054724517e-07,3.137100007734261e-07,3.20320000173524e-07,3.321500000311062e-07,3.7295999936759475e-07
list.append,10000,1.04750000173226e-07,1.0441999911563472e-07,1.04750000173226e-07,1.0218999959761277e-07,1.1367000115569681e-07,1.0577999928500503e-07
Deque.appendleft,10000,7.111400002031587e-07,7.793400000082329e-07,7.111400002031587e-07,6.936800011317245e-07,6.797199996071867e-07,7.197700004326179e-07
deque.appendleft,10000,1.0437000019010156e-07,1.0607000003801658e-07,1.0437000019010156e-07,1.0611999896354973e-07,1.0101000079885125e-07,9.894999966491014e-08
list.insert(0),10000,1.2277899993932805e-06,1.2103200002457016e-06,1.221790000272449e-06,1.2277899993932805e-06,1.234180000028573e-06,1.2647800002014264e-06
DynamicArray.append,30000,3.019899998131829e-07,3.009800003686299e-07,3.019899998131829e-07,2.953233333149304e-07,3.1433000015870976e-07,3.877066667579735e-07
list.append,30000,1.0339666672128563e-07,1.0619333334034309e-07,1.0339666672128563e-07,1.0067666638254499e-07,9.966666645292814e-08,1.0614999967704838e-07
Deque.appendleft,30000,7.208466670514705e-07,1.789209999939582e-06,7.019933332533886e-07,7.012533334394296e-07,1.749256667001949e-06,7.208466670514705e-07
deque.appendleft,30000,1.0081666696351021e-07,1.0018999989066894e-07,1.0401666707669695e-07,1.0081666696351021e-07,1.0175999971882751e-07,9.913000006539126e-08
list.insert(0),30000,3.7755666669302932e-06,3.8052433330449274e-06,3.743886666779872e-06,3.7755666669302932e-06,3.725593333365396e-06,3.8037933331603804e-06
DynamicArray.append,100000,3.27809000009438e-07,3.556120001303498e-07,3.140610000991728e-07,3.2291099996655247e-07,3.287520000594668e-07,3.27809000009438e-07
list.append,100000,1.0833399996045045e-07,1.0909600008744747e-07,1.0833399996045045e-07,1.1429199992562645e-07,1.006680000864435e-07,1.0648600000422448e-07
Deque.appendleft,100000,1.032133000117028e-06,1.032133000117028e-06,1.0332819999894128e-06,1.0102370000095107e-06,1.0544389999995473e-06,9.982069999387021e-07
deque.appendleft,100000,1.0012800004915334e-07,1.0427000001072883e-07,1.0012800004915334e-07,9.968500002287329e-08,1.0292300008586607e-07,9.92979999864474e-08
list.insert(0),100000,1.2652975999953923e-05,1.230645799994818e-05,1.2452897000039229e-05,1.2652975999953923e-05,1.2842109999910463e-05,1.2688281000009737e-05
