algorithm,n,result,calls,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
naive,5,5,15,2.7000060072168708e-06,2.9999937396496534e-06,2.7000060072168708e-06,2.900007530115545e-06,2.6999914553016424e-06,2.5000044843181968e-06
memo,5,5,9,2.3000029614195228e-06,2.5999906938523054e-06,2.3000029614195228e-06,2.5000044843181968e-06,2.1999876480549574e-06,2.3000029614195228e-06
naive,10,55,177,1.9800005247816443e-05,1.990000600926578e-05,1.9899991457350552e-05,1.9800005247816443e-05,1.9499988411553204e-05,1.9800005247816443e-05
memo,10,55,19,3.6999990697950125e-06,3.6999990697950125e-06,3.6999990697950125e-06,3.6999990697950125e-06,4.0000013541430235e-06,3.9000005926936865e-06
naive,15,610,1973,0.00023410000721924007,0.00023090001195669174,0.00023410000721924007,0.0002390000008745119,0.0002342000079806894,0.00023189999046735466
memo,15,610,29,5.2000104915350676e-06,5.299996701069176e-06,5.2000104915350676e-06,5.2000104915350676e-06,5.099995178170502e-06,5.299996701069176e-06
naive,20,6765,21891,0.0026849999994738027,0.0030240000050980598,0.002665699998033233,0.0026849999994738027,0.0028159000066807494,0.0026320000033592805
memo,20,6765,39,6.699992809444666e-06,7.000009645707905e-06,6.300004315562546e-06,6.699992809444666e-06,6.700007361359894e-06,6.699992809444666e-06
naive,25,75025,242785,0.030426299999817275,0.031136600009631366,0.03114429999550339,0.030426299999817275,0.029837000009138137,0.0299795000028098
memo,25,75025,49,8.399991202168167e-06,9.60000033956021e-06,9.499999578110874e-06,8.200004231184721e-06,8.399991202168167e-06,8.300004992634058e-06
