kind,algorithm,n,comparisons,swaps,moves,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
random,bubble_sort,100,4922,2619,5238,0.0015282999956980348,0.001524399995105341,0.0015399000112665817,0.00152160000288859,0.0015282999956980348,0.0015287999995052814
random,insertion_sort,100,2707,0,2718,0.0007504999957745895,0.0007504999957745895,0.0007465000089723617,0.0007461000059265643,0.0007584000122733414,0.0007511000003432855
random,selection_sort,100,4950,95,190,0.0008352000004379079,0.0008352000004379079,0.0008784999954514205,0.0008344999951077625,0.00083710000035353,0.0008335999882547185
random,quick_sort,100,972,397,794,0.00034470000537112355,0.00034470000537112355,0.00038019999919924885,0.0003423000016482547,0.00036439999530557543,0.00034410000080242753
random,bubble_sort,250,30849,16948,33896,0.00980449999042321,0.009793900011572987,0.009743499991600402,0.009943799988832325,0.010155600000871345,0.00980449999042321
random,insertion_sort,250,17185,0,17197,0.00481959999888204,0.004880499996943399,0.004916999998386018,0.004756900001666509,0.00480260000040289,0.00481959999888204
random,selection_sort,250,31125,244,488,0.005112600003485568,0.0053952000016579404,0.00512479999451898,0.005090599996037781,0.005112600003485568,0.005110900005092844
random,quick_sort,250,3396,1456,2912,0.0011091000051237643,0.0010851000115508214,0.0011091000051237643,0.0010688000038499013,0.0013516999897547066,0.0011506000009831041
random,bubble_sort,630,198044,101207,202414,0.06519700000353623,0.0630749999982072,0.06315270000777673,0.06584250000014435,0.06531679999898188,0.06519700000353623
random,insertion_sort,630,101824,0,101836,0.02978909999364987,0.030713299987837672,0.030199200002243742,0.029750299989245832,0.02976889999990817,0.02978909999364987
random,selection_sort,630,198135,625,1250,0.035093300000880845,0.035847600011038594,0.034894200012786314,0.035093300000880845,0.034885899993241765,0.035930199999711476
random,quick_sort,630,10439,4787,9574,0.0035160999977961183,0.003431999997701496,0.003386500000488013,0.0035160999977961183,0.006049300005543046,0.0037506000080611557
random,bubble_sort,1600,1277874,634126,1268252,0.43104219999804627,0.43104219999804627,0.4243521999887889,0.42582540000148583,0.44003800000064075,0.44454029999906197
random,insertion_sort,1600,635720,0,635725,0.20644500000344124,0.19807759999821428,0.20351020000816789,0.20644500000344124,0.22695139999268577,0.21752189999097027
random,selection_sort,1600,1279200,1594,3188,0.23694960000284482,0.23694960000284482,0.2344338999973843,0.2409522000089055,0.2339911999879405,0.24233519998961128
random,quick_sort,1600,30895,13052,26104,0.009407799996552058,0.009818100006668828,0.009407799996552058,0.009289100009482354,0.00927419999788981,0.00974819999828469
random,bubble_sort,4000,7994840,4005670,8011340,2.780593499992392,2.760004600000684,2.7967122999980347,2.783776399999624,2.763540499989176,2.780593499992392
random,insertion_sort,4000,4009663,0,4009669,1.2817608000041218,1.3188746999949217,1.2825432999961777,1.2761169000004884,1.2755926000099862,1.2817608000041218
random,selection_sort,4000,7998000,3994,7988,1.5009934999980032,1.4921654000063427,1.5009934999980032,1.5124098999949638,1.5003151000128128,1.509348299994599
random,quick_sort,4000,85671,38755,77510,0.02862769999774173,0.030859499995131046,0.028763800000888295,0.02858310000738129,0.02862769999774173,0.027679300008458085
sorted,bubble_sort,100,99,0,0,1.7000013031065464e-05,1.7800004570744932e-05,1.720000000204891e-05,1.6999998479150236e-05,1.7000013031065464e-05,1.6999998479150236e-05
sorted,insertion_sort,100,99,0,99,2.720000338740647e-05,2.7299989596940577e-05,2.720000338740647e-05,2.7700007194653153e-05,2.719998883549124e-05,2.720000338740647e-05
sorted,selection_sort,100,4950,0,0,0.000828499993076548,0.000828499993076548,0.0008373000018764287,0.00082230000407435,0.0008148999913828447,0.0008338000043295324
sorted,quick_sort,100,1103,380,760,0.0003166000096825883,0.0003263000107835978,0.0003166000096825883,0.00035820000630337745,0.0002970000059576705,0.000295300007564947
sorted,bubble_sort,250,249,0,0,3.99000127799809e-05,4.0099999750964344e-05,3.979999746661633e-05,3.99000127799809e-05,4.0400002035312355e-05,3.9099992136470973e-05
sorted,insertion_sort,250,249,0,249,6.880000000819564e-05,6.760000542271882e-05,6.620000931434333e-05,7.670000195503235e-05,6.910000229254365e-05,6.880000000819564e-05
sorted,selection_sort,250,31125,0,0,0.005233600008068606,0.005384400006732903,0.005097600005683489,0.005539299992960878,0.005233600008068606,0.005091599989100359
sorted,quick_sort,250,3307,1148,2296,0.000992100001894869,0.000992100001894869,0.0008922999986680225,0.0010239000112051144,0.0009862000006251037,0.0009944000048562884
sorted,bubble_sort,630,629,0,0,0.00011870000162161887,0.00011870000162161887,0.00015150000399444252,0.00012139999307692051,0.00011860000086016953,0.00011629999789875001
sorted,insertion_sort,630,629,0,629,0.0001939999929163605,0.00019289999909233302,0.00019540000357665122,0.0001939999929163605,0.00019169998995494097,0.0002043999993475154
sorted,selection_sort,630,198135,0,0,0.03734780001104809,0.03734780001104809,0.03789839999808464,0.03733540000393987,0.038173499997355975,0.03665999999793712
sorted,quick_sort,630,10231,3574,7148,0.003057900001294911,0.003057900001294911,0.002921999999671243,0.0032069000008050352,0.003290200009359978,0.0028448000084608793
sorted,bubble_sort,1600,1599,0,0,0.00031800000579096377,0.00033819999953266233,0.00032369999098591506,0.00031800000579096377,0.00031319999834522605,0.0003142000059597194
sorted,insertion_sort,1600,1599,0,1599,0.0005221000028541312,0.0005221000028541312,0.0005200000014156103,0.0005241000035312027,0.0005177999992156401,0.0005624999903375283
sorted,selection_sort,1600,1279200,0,0,0.24126439999963623,0.2402767000021413,0.24133240000810474,0.24126439999963623,0.24592829999164678,0.24066600001242477
sorted,quick_sort,1600,29294,9598,19196,0.009234500001184642,0.010128200010512955,0.010380799998529255,0.008924699999624863,0.009217899991199374,0.009234500001184642
sorted,bubble_sort,4000,3999,0,0,0.0008319000044139102,0.0008926000009523705,0.0008319000044139102,0.0009719999943627045,0.0008127999899443239,0.0008229999948525801
sorted,insertion_sort,4000,3999,0,3999,0.0013169000012567267,0.0013288000045577064,0.0013455000007525086,0.0012980999890714884,0.001302899996517226,0.0013169000012567267
sorted,selection_sort,4000,7998000,0,0,1.5280989000020782,1.5160318999987794,1.5241213000117568,1.5368040000030305,1.5377783000003546,1.5280989000020782
sorted,quick_sort,4000,91334,33994,67988,0.02759939999668859,0.0297557999874698,0.02759939999668859,0.025110600006883033,0.02772729999560397,0.026601799996569753
reversed,bubble_sort,100,4950,4950,9900,0.0022653000050922856,0.002449100007652305,0.0022653000050922856,0.002281799999764189,0.0022090999991633,0.002198199988924898
reversed,insertion_sort,100,4950,0,5049,0.0014796000032220036,0.001429600000847131,0.0014235999988159165,0.0014796000032220036,0.0015678000054322183,0.0015079000004334375
reversed,selection_sort,100,4950,50,100,0.0008688999951118603,0.000978600000962615,0.0008890999888535589,0.0008688999951118603,0.0008556999964639544,0.0008521999989170581
reversed,quick_sort,100,1141,406,812,0.0003615000023273751,0.0003741999971680343,0.00038720000884495676,0.0003311000036774203,0.0003556000010576099,0.0003615000023273751
reversed,bubble_sort,250,31125,31125,62250,0.013987100013764575,0.014924599992809817,0.013972500004456379,0.014094199999817647,0.013665799997397698,0.013987100013764575
reversed,insertion_sort,250,31125,0,31374,0.009036700008437037,0.009036700008437037,0.008799500006716698,0.009079700001166202,0.008938800005125813,0.009131600003456697
reversed,selection_sort,250,31125,125,250,0.005328100000042468,0.005223600004683249,0.00532779999775812,0.005328100000042468,0.005457899998873472,0.005361900010029785
reversed,quick_sort,250,3489,1361,2722,0.001002899996819906,0.001002899996819906,0.0010768999927677214,0.0009901000012177974,0.0011741999915102497,0.0008812000014586374
reversed,bubble_sort,630,198135,198135,396270,0.0905717999994522,0.0905717999994522,0.0919759999960661,0.09485349999158643,0.08720019999600481,0.09012129998882301
reversed,insertion_sort,630,198135,0,198764,0.060144999995827675,0.060144999995827675,0.06000080000376329,0.05955649999668822,0.06132629999774508,0.07162919999973383
reversed,selection_sort,630,198135,315,630,0.03751439999905415,0.037180700004682876,0.0370579999871552,0.03751439999905415,0.037520799989579245,0.03764949999458622
reversed,quick_sort,630,10297,3689,7378,0.0034192000020993873,0.0034192000020993873,0.003354599990416318,0.002777400004561059,0.005012299996451475,0.0034445000055711716
reversed,bubble_sort,1600,1279200,1279200,2558400,0.617393099993933,0.6166800999926636,0.6127371999900788,0.6298733000003267,0.624326100005419,0.617393099993933
reversed,insertion_sort,1600,1279200,0,1280799,0.41475979999813717,0.41475979999813717,0.4202260999882128,0.42386070000065956,0.40413180000905413,0.4066337999975076
reversed,selection_sort,1600,1279200,800,1600,0.24261200000182725,0.23860069998772815,0.24261200000182725,0.24069179999059997,0.2547937000053935,0.2563032999896677
reversed,quick_sort,1600,32130,11960,23920,0.009233999997377396,0.009233999997377396,0.00910680000379216,0.00987790001090616,0.009249499998986721,0.00911929999710992
reversed,bubble_sort,4000,7998000,7997996,15995992,3.922677599999588,3.880340999996406,3.920985999997356,3.9227440000104252,3.9257446999981767,3.922677599999588
reversed,insertion_sort,4000,7998000,0,8001995,2.54809570001089,2.5715594999928726,2.5768001999967964,2.520408200012753,2.54092070000479,2.54809570001089
reversed,selection_sort,4000,7998000,2000,4000,1.5248609999980545,1.5360943999985466,1.5608872000011615,1.5049977999879047,1.5188935000041965,1.5248609999980545
reversed,quick_sort,4000,81635,28872,57744,0.026905699996859767,0.0300108000083128,0.025167600004351698,0.02643339999485761,0.026905699996859767,0.03034349999506958
