algorithm,kind,n,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
BST,hit,1000,9.734374089021003e-07,9.843749921856215e-07,9.734374089021003e-07,9.68750100582838e-07,9.687498732091626e-07,9.734374089021003e-07
list.in,hit,1000,6.985937488934724e-06,6.985937488934724e-06,9.718749879539246e-06,8.849999858284718e-06,6.807812496845145e-06,4.68281245957769e-06
BST,miss,1000,5.87499926041346e-07,5.79687593926792e-07,5.765623427578248e-07,6.60937530483352e-07,6.000000212225132e-07,5.87499926041346e-07
list.in,miss,1000,9.849999969446799e-06,9.849999969446799e-06,9.553124982630834e-06,9.343749979962013e-06,9.898437610900146e-06,9.954687584468047e-06
BST,hit,3000,1.1656250080704922e-06,1.204687578137964e-06,1.1484376045700628e-06,1.1937499948544428e-06,1.1656250080704922e-06,1.1437500688771252e-06
list.in,hit,3000,1.546250018691353e-05,1.636562478779524e-05,1.5400000165755046e-05,1.546250018691353e-05,1.6875000028448994e-05,1.5381250022983295e-05
BST,miss,3000,5.765625701315003e-07,5.718748070648871e-07,5.79687593926792e-07,5.828123903484084e-07,5.750000582338544e-07,5.765625701315003e-07
list.in,miss,3000,3.0128124990369543e-05,2.902656251535518e-05,3.081875001953449e-05,3.0128124990369543e-05,2.950312500615837e-05,3.017656263182289e-05
BST,hit,10000,1.3468750239553628e-06,1.3546873560699169e-06,1.3203125490690582e-06,1.329687393081258e-06,1.3468750239553628e-06,1.3484375358530087e-06
list.in,hit,10000,5.289843761602242e-05,5.2025000059074955e-05,5.289843761602242e-05,5.0793750006050686e-05,5.465000003823661e-05,5.690156262971868e-05
BST,miss,10000,9.015625437314156e-07,9.015625437314156e-07,1.0265625860483851e-06,9.031250556290615e-07,8.718748176761437e-07,8.687500212545274e-07
list.in,miss,10000,9.652187486608454e-05,9.577656237524934e-05,9.873437511487282e-05,9.652187486608454e-05,9.251406231669534e-05,9.694531240711513e-05
BST,hit,30000,1.3687499631487299e-06,1.418750116499723e-06,1.4656250186817488e-06,1.3687499631487299e-06,1.3609376310341759e-06,1.353124844172271e-06
list.in,hit,30000,0.00013713749990529323,0.00014458750001722365,0.00013736562482336012,0.00013713749990529323,0.00013620468757835624,0.0001363484375360713
BST,miss,30000,6.578125066880602e-07,6.60937530483352e-07,6.578125066880602e-07,6.625000423809979e-07,6.343750555970473e-07,6.406248758139554e-07
list.in,miss,30000,0.0002960703125154396,0.0002999406251547043,0.0002917421875281434,0.0002960703125154396,0.00029423124988170457,0.0003067687500788452
BST,hit,100000,1.68437486536277e-06,1.718749899737304e-06,1.6515623428858817e-06,1.637499963180744e-06,2.3687500743108103e-06,1.68437486536277e-06
list.in,hit,100000,0.0005115421874961612,0.0005115421874961612,0.0005162406250747154,0.0005238968749381456,0.0005060359374056134,0.0005037921876009932
BST,miss,100000,1.345312512057717e-06,1.3515625596483005e-06,1.3406249763647793e-06,1.345312512057717e-06,1.3484375358530087e-06,1.3390624644671334e-06
list.in,miss,100000,0.0009509156250260276,0.0010005593749156105,0.0009852453124494787,0.0009509156250260276,0.0009333906248230051,0.0009324687500793516
