kind,n,sha256
uniform,1000,b197a9380c000e270300195f9a1ff25ca73526e4034fc5fd03fcc4b49a4f4e83
uniform,3000,a4e8eb7e798a5a4ff1d786d3eecefeb4d5223b04f09770b8ebf7309c505d5d12
uniform,10000,9865b31042e26468708fef4f5471e8487964eb72e44b416ae898f1e121069ce2
uniform,30000,6a2818eae2c432eef309879396a65ddb1a22d3b601887ce8eb396ee208cb1b52
uniform,100000,d4232684f52232cd97cd5aba44a55e46697dba1919730418726e90c05bde8b95
exponential,1000,4d03f6a03d8bda3d14c63f950fcb9e9d4fcee54261300f4c24468747eb98ab7e
exponential,3000,b4b49eaf6838867b84d9ddfc1d827f6024a4001cc9847ca088eef40775483b59
exponential,10000,0cca99e796ec7ff140900aecbfffed88003caa965c93e56457e7496f60387fa8
exponential,30000,26bc4abee51025904200fd041f72828da25397615502720c2c23a80a1c21e8b9
exponential,100000,dbad9c4731b9e5d2121ac61932be14b031d4f88ab17aaaf1bd64db93d3113422
