algorithm,n,comparisons,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
binary_search,100,11,2.3000029614195228e-06,4.8000074457377195e-06,2.7000060072168708e-06,2.3000029614195228e-06,2.3000029614195228e-06,2.2999884095042944e-06
interpolation_search,100,494,4.50000079581514e-05,8.390001312363893e-05,7.989999721758068e-05,4.50000079581514e-05,4.4899992644786835e-05,4.460000491235405e-05
binary_search,300,15,2.1000014385208488e-06,2.4000037228688598e-06,2.5999906938523054e-06,2.1000014385208488e-06,2.0000006770715117e-06,2.0000006770715117e-06
interpolation_search,300,1494,0.00012080000306013972,0.00011870000162161887,0.00012080000306013972,0.00012060000153724104,0.00012700000661425292,0.00012769999739248306
binary_search,1000,17,2.0000006770715117e-06,2.1000014385208488e-06,2.1000014385208488e-06,2.0000006770715117e-06,2.0000006770715117e-06,1.8999999156221747e-06
interpolation_search,1000,4994,0.00042979999852832407,0.0004496000037761405,0.00044010000419802964,0.00042979999852832407,0.0004209999897284433,0.00040689999877940863
binary_search,3000,21,2.0000006770715117e-06,2.1000014385208488e-06,2.0000006770715117e-06,2.0000006770715117e-06,2.0000006770715117e-06,2.0000006770715117e-06
interpolation_search,3000,14994,0.0021299000072758645,0.0021299000072758645,0.0021207999961916357,0.002878500003134832,0.0028581000078702345,0.002090699999826029
binary_search,10000,25,5.2000104915350676e-06,6.400005077011883e-06,5.3000112529844046e-06,5.2000104915350676e-06,5.0000089686363935e-06,4.999994416721165e-06
interpolation_search,10000,49994,0.005903199999011122,0.00466999999480322,0.005903199999011122,0.01087649998953566,0.008343800000147894,0.004596300001139753
