implementation,operation,algorithm,n,alpha,alpha_after,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
polynomial,get_hit,polynomial,102,0.099609375,0.099609375,1.2093748864572262e-06,1.2171874459454557e-06,1.5781249658175511e-06,1.1984375305473804e-06,1.2093748864572262e-06,1.2031250662403181e-06
polynomial,get_miss,polynomial,102,0.099609375,0.099609375,1.3296876204549335e-06,1.4421873402170604e-06,1.3296876204549335e-06,1.3281251085572876e-06,1.3265625966596417e-06,1.4562499472958734e-06
polynomial,put_update,polynomial,102,0.099609375,0.099609375,1.1890626865351805e-06,1.1578124485822627e-06,1.2218749816383934e-06,1.1890626865351805e-06,1.2234374935360393e-06,1.1343749974912498e-06
polynomial,put_new,polynomial,102,0.099609375,0.162109375,1.270312395718065e-06,1.20625009003561e-06,1.2328125649219146e-06,1.3500000477506546e-06,1.300000121773337e-06,1.270312395718065e-06
first_character,get_hit,first_character,102,0.099609375,0.099609375,1.5312500636355253e-06,1.5312500636355253e-06,1.5593750504194759e-06,1.47656260196527e-06,1.5671876099077053e-06,1.484374934079824e-06
first_character,get_miss,first_character,102,0.099609375,0.099609375,3.1265624329535058e-06,2.9968748549435986e-06,3.0328124012157787e-06,3.1265624329535058e-06,3.1265626603271812e-06,3.375000005689799e-06
first_character,put_update,first_character,102,0.099609375,0.099609375,1.4499998997052899e-06,1.4015624856256181e-06,1.4468751032836735e-06,1.4499998997052899e-06,2.1015623588027665e-06,1.5999999050109182e-06
first_character,put_new,first_character,102,0.099609375,0.162109375,3.4468748708604835e-06,3.38593758897332e-06,4.025000180263305e-06,3.4468748708604835e-06,3.420312395974179e-06,3.4937500004161848e-06
dict,get_hit,dict,102,0.099609375,0.099609375,1.1406268640712369e-07,1.1718748282874003e-07,1.1562497093109414e-07,1.1406245903344825e-07,1.1249994713580236e-07,1.1406268640712369e-07
dict,get_miss,dict,102,0.099609375,0.099609375,2.57812416748493e-07,2.57812416748493e-07,3.8593748286075424e-07,2.57812416748493e-07,2.5468762032687664e-07,2.406250132480636e-07
dict,put_update,dict,102,0.099609375,0.099609375,1.234375304193236e-07,1.2500004231696948e-07,1.218750185216777e-07,1.2812506611226127e-07,1.203125066240318e-07,1.234375304193236e-07
dict,put_new,dict,102,0.099609375,0.162109375,1.2968757800990716e-07,1.3437488632916939e-07,1.2968757800990716e-07,1.312498625338776e-07,1.2656255421461537e-07,1.2968757800990716e-07
polynomial,get_hit,polynomial,256,0.25,0.25,1.1046874988096533e-06,1.1046874988096533e-06,1.1015624750143616e-06,1.0984374512190698e-06,1.1140625701955287e-06,1.1062500107072992e-06
polynomial,get_miss,polynomial,256,0.25,0.25,1.4953125173633453e-06,1.60312492880621e-06,1.4437500794883817e-06,1.4953125173633453e-06,1.5437501588166924e-06,1.3531250715459464e-06
polynomial,put_update,polynomial,256,0.25,0.25,1.1609374723775545e-06,1.1624999842752004e-06,1.145312580774771e-06,1.1499998890940333e-06,1.1609374723775545e-06,1.3546875834435923e-06
polynomial,put_new,polynomial,256,0.25,0.3125,1.3062499419902451e-06,1.3593748917628545e-06,1.256249788639252e-06,1.2406248970364686e-06,1.3062499419902451e-06,1.331249904978904e-06
first_character,get_hit,first_character,256,0.25,0.25,3.337499947519973e-06,3.4031249924737494e-06,3.1890624541119905e-06,3.337499947519973e-06,3.3062499369407305e-06,3.3640624224062776e-06
first_character,get_miss,first_character,256,0.25,0.25,6.857812650196138e-06,6.857812650196138e-06,6.695312549709342e-06,6.623437684538658e-06,6.917187420185655e-06,6.968749858060619e-06
first_character,put_update,first_character,256,0.25,0.25,2.889062443500734e-06,2.889062443500734e-06,2.921874965977622e-06,2.8390625175234163e-06,2.996875082317274e-06,2.828124934239895e-06
first_character,put_new,first_character,256,0.25,0.3125,6.7249998210172635e-06,6.7609373672894435e-06,6.770312438675319e-06,6.656250207015546e-06,6.7249998210172635e-06,6.600000006073969e-06
dict,get_hit,dict,256,0.25,0.25,1.1406245903344825e-07,1.1718748282874003e-07,1.1562497093109414e-07,1.1406245903344825e-07,1.125001745094778e-07,1.1406245903344825e-07
dict,get_miss,dict,256,0.25,0.25,2.4687483346497174e-07,2.515623691579094e-07,2.4687483346497174e-07,2.4531232156732585e-07,2.468750608386472e-07,2.453125489410013e-07
dict,put_update,dict,256,0.25,0.25,1.218750185216777e-07,1.2500004231696948e-07,1.218750185216777e-07,1.218750185216777e-07,1.234375304193236e-07,1.218750185216777e-07
dict,put_new,dict,256,0.25,0.3125,1.3281260180519894e-07,1.3593739822681528e-07,1.3281260180519894e-07,1.3281260180519894e-07,1.3125008990755305e-07,1.3281260180519894e-07
polynomial,get_hit,polynomial,512,0.5,0.5,1.1624999842752004e-06,1.1375000212865416e-06,1.1531251402630005e-06,1.1624999842752004e-06,1.1874999472638592e-06,1.2015623269689968e-06
polynomial,get_miss,polynomial,512,0.5,0.5,1.5031250768515747e-06,1.5312500636355253e-06,1.5031250768515747e-06,1.5046873613755452e-06,1.460937482988811e-06,1.4812501376582077e-06
polynomial,put_update,polynomial,512,0.5,0.5,1.2250000054336851e-06,1.2234374935360393e-06,1.2250000054336851e-06,1.2343750768195605e-06,1.2359375887172064e-06,1.214062422150164e-06
polynomial,put_new,polynomial,512,0.5,0.5625,1.3093751931592124e-06,1.3093751931592124e-06,1.345312512057717e-06,1.2343750768195605e-06,1.3718749869440217e-06,1.2468751720007276e-06
first_character,get_hit,first_character,512,0.5,0.5,5.867187610419933e-06,6.059374982214649e-06,5.867187610419933e-06,5.990625140839256e-06,5.865624871148611e-06,5.787499958387343e-06
first_character,get_miss,first_character,512,0.5,0.5,1.2646875120481127e-05,1.2910937357446528e-05,1.3037499911661143e-05,1.254531252925517e-05,1.2646875120481127e-05,1.1089062581959297e-05
first_character,put_update,first_character,512,0.5,0.5,5.478124876390211e-06,5.460937472889782e-06,7.60156240176002e-06,5.478124876390211e-06,6.450000000768341e-06,5.2328125548228854e-06
first_character,put_new,first_character,512,0.5,0.5625,1.2965625046490459e-05,1.2154687510701478e-05,1.2445312677300535e-05,1.2965625046490459e-05,1.4139062386675505e-05,1.3376562492339872e-05
dict,get_hit,dict,512,0.5,0.5,1.2812506611226127e-07,1.2968757800990716e-07,1.3437488632916939e-07,1.2656255421461537e-07,1.2812506611226127e-07,1.2656255421461537e-07
dict,get_miss,dict,512,0.5,0.5,2.5312510842923075e-07,2.562499048508471e-07,2.5156259653158486e-07,2.578126441221684e-07,2.5000008463393897e-07,2.5312510842923075e-07
dict,put_update,dict,512,0.5,0.5,1.4531246961269062e-07,1.390626493957825e-07,1.4062493391975295e-07,1.4531246961269062e-07,1.4531246961269062e-07,1.500000053056283e-07
dict,put_new,dict,512,0.5,0.5625,1.3437511370284483e-07,1.4218744581739884e-07,1.4531246961269062e-07,1.3437488632916939e-07,1.3437511370284483e-07,1.3437511370284483e-07
polynomial,get_hit,polynomial,768,0.75,0.75,1.1843749234685674e-06,1.1843749234685674e-06,1.1812498996732756e-06,1.110937546400237e-06,1.2968748706043698e-06,1.2468751720007276e-06
polynomial,get_miss,polynomial,768,0.75,0.75,1.2968748706043698e-06,1.2906248230137862e-06,1.2718751349893864e-06,1.307812453887891e-06,1.2968748706043698e-06,1.389062390444451e-06
polynomial,put_update,polynomial,768,0.75,0.75,1.204687578137964e-06,1.204687578137964e-06,1.2109376257285476e-06,1.174999852082692e-06,1.1406250450818334e-06,1.87343744073587e-06
polynomial,put_new,polynomial,768,0.75,0.8125,1.3031249181949534e-06,1.367187451251084e-06,1.3312501323525794e-06,1.2656250873988029e-06,1.3031249181949534e-06,1.2875000265921699e-06
first_character,get_hit,first_character,768,0.75,0.75,9.506249853075133e-06,9.506249853075133e-06,9.251562460121932e-06,9.714062571219984e-06,9.676562513050158e-06,9.493750212641316e-06
first_character,get_miss,first_character,768,0.75,0.75,1.947031228155538e-05,1.9618750002337038e-05,1.9445312545940396e-05,1.8071874819725053e-05,1.947031228155538e-05,1.9684375047290814e-05
first_character,put_update,first_character,768,0.75,0.75,9.476562581767212e-06,1.0054687663796358e-05,9.476562581767212e-06,9.737500022310996e-06,9.117187346419087e-06,9.184374903270509e-06
first_character,put_new,first_character,768,0.75,0.8125,1.87921873475716e-05,1.804843736863404e-05,1.8007812514042598e-05,2.1145312530279625e-05,2.1376562472141813e-05,1.87921873475716e-05
dict,get_hit,dict,768,0.75,0.75,1.2968757800990716e-07,1.312498625338776e-07,1.3125008990755305e-07,1.2812506611226127e-07,1.296873506362317e-07,1.2968757800990716e-07
dict,get_miss,dict,768,0.75,0.75,2.5000008463393897e-07,2.5156259653158486e-07,2.5000008463393897e-07,2.499998572602635e-07,2.5000008463393897e-07,2.5000008463393897e-07
dict,put_update,dict,768,0.75,0.75,1.4218744581739884e-07,1.3906242202210706e-07,1.4218744581739884e-07,1.4062493391975295e-07,1.4374995771504473e-07,1.4218767319107428e-07
dict,put_new,dict,768,0.75,0.8125,1.3437511370284483e-07,1.3125008990755305e-07,1.3593762560049072e-07,1.3281260180519894e-07,1.3437511370284483e-07,1.3593739822681528e-07
polynomial,get_hit,polynomial,1024,1.0,1.0,1.2234374935360393e-06,1.2296875411266228e-06,1.4109375570114935e-06,1.2125001376261935e-06,1.1437498415034497e-06,1.2234374935360393e-06
polynomial,get_miss,polynomial,1024,1.0,1.0,1.4296874724095687e-06,1.4156248653307557e-06,1.6046874407038558e-06,1.4296874724095687e-06,1.4796873983868863e-06,1.4125000689091394e-06
polynomial,put_update,polynomial,1024,1.0,1.0,1.2406248970364686e-06,1.2453126601030817e-06,1.2000000424450263e-06,1.2406248970364686e-06,1.2312500530242687e-06,1.307812453887891e-06
polynomial,put_new,polynomial,1024,1.0,1.0625,1.2890625384898158e-06,1.2890625384898158e-06,1.4000002011016477e-06,1.7546874460094841e-06,1.2828124908992322e-06,1.2671875992964488e-06
first_character,get_hit,first_character,1024,1.0,1.0,1.231875012308592e-05,1.0867187484109309e-05,1.231875012308592e-05,1.2164062354713678e-05,1.2368749821689562e-05,1.3056249827059219e-05
first_character,get_miss,first_character,1024,1.0,1.0,2.6857812599700992e-05,2.723593729569984e-05,2.3307812625716906e-05,2.5634375106164953e-05,2.6857812599700992e-05,2.836875000866712e-05
first_character,put_update,first_character,1024,1.0,1.0,1.2357812465779716e-05,1.1153124887641752e-05,1.2857812407673919e-05,1.3140625014784746e-05,1.2357812465779716e-05,1.1560937537069549e-05
